STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT06,WT05,WT04,WT03
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690127,-9999,-9999,0.01,5.0,0.1,18,13,13,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690128,-9999,-9999,0.00,5.0,0.0,20,9,9,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690129,-9999,-9999,0.10,5.0,0.0,22,8,17,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690130,-9999,-9999,0.08,7.0,2.0,30,16,16,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690131,-9999,-9999,0.07,2.0,0.0,40,16,36,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690201,-9999,-9999,0.06,2.0,0.0,37,33,34,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690202,-9999,-9999,0.14,1.0,0.0,41,33,34,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690203,-9999,-9999,0.00,0.0,0.0,47,34,41,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690204,-9999,-9999,0.70,0.0,1.0,41,34,39,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690205,-9999,-9999,0.00,0.0,0.0,39,29,29,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690206,-9999,-9999,0.00,0.0,0.0,42,25,26,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690207,-9999,-9999,0.03,0.0,0.0,44,26,38,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690208,-9999,-9999,0.73,0.0,0.0,47,37,44,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690209,-9999,-9999,0.00,0.0,0.0,46,37,41,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690210,-9999,-9999,0.05,0.0,0.0,50,39,40,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690211,-9999,-9999,0.28,0.0,0.0,54,40,44,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690212,-9999,-9999,0.05,0.0,0.0,47,35,37,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690213,-9999,-9999,0.00,0.0,0.0,44,35,36,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690214,-9999,-9999,0.00,0.0,0.0,50,34,38,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690215,-9999,-9999,0.00,0.0,0.0,58,38,44,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690216,-9999,-9999,0.00,0.0,0.0,53,43,45,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690217,-9999,-9999,0.00,0.0,0.0,51,31,38,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690218,-9999,-9999,0.00,0.0,0.0,50,31,34,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690219,-9999,-9999,0.00,0.0,0.0,47,29,30,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690220,-9999,-9999,0.00,0.0,0.0,49,28,30,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690221,-9999,-9999,0.00,0.0,0.0,47,26,29,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690222,-9999,-9999,0.00,0.0,0.0,43,28,30,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690223,-9999,-9999,0.00,0.0,0.0,43,30,40,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690224,-9999,-9999,0.00,0.0,0.0,53,31,36,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690225,-9999,-9999,0.00,0.0,0.0,44,32,37,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690226,-9999,-9999,0.00,0.0,0.0,51,32,38,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690227,-9999,-9999,0.00,0.0,0.0,57,30,36,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690228,-9999,-9999,0.00,0.0,0.0,53,34,39,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690301,-9999,-9999,0.00,0.0,0.0,52,34,38,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690302,-9999,-9999,0.00,0.0,0.0,58,38,46,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690303,-9999,-9999,0.00,0.0,0.0,49,41,42,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690304,-9999,-9999,0.18,0.0,0.0,45,33,36,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690305,-9999,-9999,0.23,0.0,0.0,52,36,44,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690306,-9999,-9999,0.00,0.0,0.0,48,36,39,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690307,-9999,-9999,0.00,0.0,0.0,50,27,30,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690308,-9999,-9999,0.00,0.0,0.0,51,30,40,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690309,-9999,-9999,0.00,0.0,0.0,50,31,35,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690310,-9999,-9999,0.00,0.0,0.0,53,25,32,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690311,-9999,-9999,0.00,0.0,0.0,54,25,31,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690312,-9999,-9999,0.00,0.0,0.0,50,26,34,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690313,-9999,-9999,0.00,0.0,0.0,54,28,32,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690314,-9999,-9999,0.00,0.0,0.0,50,32,39,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690315,-9999,-9999,0.14,0.0,0.0,56,39,45,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690316,-9999,-9999,0.00,0.0,0.0,55,43,45,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690317,-9999,-9999,0.05,0.0,0.0,54,45,49,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690318,-9999,-9999,0.00,0.0,0.0,54,38,42,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690319,-9999,-9999,0.05,0.0,0.0,51,42,43,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690320,-9999,-9999,0.00,0.0,0.0,53,31,39,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690321,-9999,-9999,0.00,0.0,0.0,53,31,37,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690322,-9999,-9999,0.31,0.0,0.0,46,33,42,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690323,-9999,-9999,0.00,0.0,0.0,53,37,45,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690324,-9999,-9999,0.00,0.0,0.0,54,34,40,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690325,-9999,-9999,0.00,0.0,0.0,60,32,39,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690326,-9999,-9999,0.00,0.0,0.0,65,35,42,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690327,-9999,-9999,0.00,0.0,0.0,57,40,47,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690328,-9999,-9999,0.00,0.0,0.0,60,32,39,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690329,-9999,-9999,0.00,0.0,0.0,64,34,40,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690330,-9999,-9999,0.00,0.0,0.0,68,40,48,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690331,-9999,-9999,0.13,0.0,0.0,54,47,49,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690401,-9999,-9999,0.42,0.0,0.0,52,45,48,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690402,-9999,-9999,0.30,0.0,0.0,48,38,39,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690403,-9999,-9999,0.00,0.0,0.0,50,32,42,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690404,-9999,-9999,0.04,0.0,0.0,56,43,47,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690405,-9999,-9999,0.03,0.0,0.0,55,39,48,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690406,-9999,-9999,0.00,0.0,0.0,56,35,40,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690407,-9999,-9999,0.00,0.0,0.0,55,36,47,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690408,-9999,-9999,0.00,0.0,0.0,65,32,45,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690409,-9999,-9999,0.12,0.0,0.0,58,36,48,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690410,-9999,-9999,0.00,0.0,0.0,58,43,47,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690411,-9999,-9999,0.00,0.0,0.0,66,36,48,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690412,-9999,-9999,0.20,0.0,0.0,70,40,56,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690413,-9999,-9999,0.44,0.0,0.0,54,43,43,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690414,-9999,-9999,0.00,0.0,0.0,58,35,44,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690415,-9999,-9999,0.00,0.0,0.0,60,33,45,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690416,-9999,-9999,0.13,0.0,0.0,54,39,44,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690417,-9999,-9999,0.12,0.0,0.0,55,44,50,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690418,-9999,-9999,0.07,0.0,0.0,53,43,46,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690419,-9999,-9999,0.13,0.0,0.0,52,43,46,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690420,-9999,-9999,0.10,0.0,0.0,55,42,44,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690421,-9999,-9999,0.00,0.0,0.0,63,45,50,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690422,-9999,-9999,0.14,0.0,0.0,53,45,48,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690423,-9999,-9999,0.52,0.0,0.0,56,44,49,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690424,-9999,-9999,0.00,0.0,0.0,53,40,46,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690425,-9999,-9999,0.00,0.0,0.0,57,35,45,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690426,-9999,-9999,0.00,0.0,0.0,64,32,45,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690427,-9999,-9999,0.00,0.0,0.0,64,45,50,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690428,-9999,-9999,0.31,0.0,0.0,52,49,50,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690429,-9999,-9999,0.26,0.0,0.0,50,40,41,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690430,-9999,-9999,0.03,0.0,0.0,49,41,42,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690501,-9999,-9999,0.17,0.0,0.0,50,42,43,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690502,-9999,-9999,0.00,0.0,0.0,52,43,45,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690503,-9999,-9999,0.00,0.0,0.0,55,41,43,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690504,-9999,-9999,0.00,0.0,0.0,62,35,40,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690505,-9999,-9999,0.00,0.0,0.0,65,38,44,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690506,-9999,-9999,0.00,0.0,0.0,65,36,46,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690507,-9999,-9999,0.00,0.0,0.0,72,40,52,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690508,-9999,-9999,0.00,0.0,0.0,76,44,55,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690509,-9999,-9999,0.00,0.0,0.0,66,48,52,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690510,-9999,-9999,0.00,0.0,0.0,66,42,46,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690511,-9999,-9999,0.00,0.0,0.0,68,40,45,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690512,-9999,-9999,0.00,0.0,0.0,71,38,50,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690513,-9999,-9999,0.00,0.0,0.0,72,40,52,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690514,-9999,-9999,0.00,0.0,0.0,63,49,52,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690515,-9999,-9999,0.00,0.0,0.0,67,38,47,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690516,-9999,-9999,0.00,0.0,0.0,68,43,49,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690517,-9999,-9999,0.00,0.0,0.0,72,40,46,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690518,-9999,-9999,0.00,0.0,0.0,77,42,46,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690519,-9999,-9999,0.00,0.0,0.0,69,48,57,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690520,-9999,-9999,0.00,0.0,0.0,70,49,54,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690521,-9999,-9999,0.00,0.0,0.0,76,42,52,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690522,-9999,-9999,0.00,0.0,0.0,81,49,62,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690523,-9999,-9999,0.00,0.0,0.0,89,49,61,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690524,-9999,-9999,0.00,0.0,0.0,70,54,59,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690525,-9999,-9999,0.00,0.0,0.0,69,43,49,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690526,-9999,-9999,0.00,0.0,0.0,68,49,55,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690527,-9999,-9999,0.00,0.0,0.0,61,51,53,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690528,-9999,-9999,0.10,0.0,0.0,61,49,54,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690529,-9999,-9999,0.78,0.0,0.0,58,54,55,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690530,-9999,-9999,0.00,0.0,0.0,62,49,55,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690531,-9999,-9999,0.00,0.0,0.0,68,41,46,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690601,-9999,-9999,0.00,0.0,0.0,74,45,54,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690602,-9999,-9999,0.00,0.0,0.0,78,49,52,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690603,-9999,-9999,0.00,0.0,0.0,77,48,54,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690604,-9999,-9999,0.00,0.0,0.0,78,49,60,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690605,-9999,-9999,0.00,0.0,0.0,77,50,57,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690606,-9999,-9999,0.00,0.0,0.0,65,53,57,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690607,-9999,-9999,0.00,0.0,0.0,70,55,58,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690608,-9999,-9999,0.00,0.0,0.0,78,50,56,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690609,-9999,-9999,0.00,0.0,0.0,83,51,60,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690610,-9999,-9999,0.00,0.0,0.0,70,51,57,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690611,-9999,-9999,0.00,0.0,0.0,73,53,58,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690612,-9999,-9999,0.00,0.0,0.0,69,52,57,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690613,-9999,-9999,0.00,0.0,0.0,74,55,58,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690614,-9999,-9999,0.00,0.0,0.0,78,51,58,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690615,-9999,-9999,0.00,0.0,0.0,79,49,58,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690616,-9999,-9999,0.00,0.0,0.0,83,52,61,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690617,-9999,-9999,0.00,0.0,0.0,87,52,62,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690618,-9999,-9999,0.00,0.0,0.0,88,53,63,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690619,-9999,-9999,0.00,0.0,0.0,70,53,60,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690620,-9999,-9999,0.00,0.0,0.0,67,55,57,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690621,-9999,-9999,0.00,0.0,0.0,63,55,-9999,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690622,-9999,-9999,0.60,0.0,0.0,69,56,-9999,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690623,-9999,-9999,0.25,0.0,0.0,63,53,57,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690624,-9999,-9999,0.10,0.0,0.0,61,52,53,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690625,-9999,-9999,0.03,0.0,0.0,64,49,52,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690626,-9999,-9999,0.00,0.0,0.0,68,51,52,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690627,-9999,-9999,0.25,0.0,0.0,61,49,52,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690628,-9999,-9999,0.12,0.0,0.0,66,51,55,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690629,-9999,-9999,0.08,0.0,0.0,67,54,57,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690630,-9999,-9999,0.00,0.0,0.0,71,48,57,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690701,-9999,-9999,0.05,0.0,0.0,75,46,60,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690702,-9999,-9999,0.31,0.0,0.0,60,55,55,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690703,-9999,-9999,0.45,0.0,0.0,63,54,54,-9999,-9999,-9999,-9999
